;noun;n
514;osadník;4366
515;finanční ředitel;4307
516;knihkupec;4307
517;nepál;4307
518;knihovník;4260
519;vladař;4237
520;sympaťák;4223
521;filipíny;4197
522;technolog;4186
523;samotář;4180
524;etiopie;4147
525;korejec;4138
526;vizionář;4118
527;mongolsko;4071
528;kameník;4060
529;barma;4014
530;kynolog;4003
531;bandita;3892
532;běloch;3880
533;nor;3845
534;ghana;3836
535;kaskadér;3834
536;nestor;3800
537;navigátor;3775
538;persona;3749
539;poručík;3718
540;snílek;3713
541;dříč;3710
542;kominík;3707
543;pokladní;3702
544;notář;3689
545;fotoreportér;3682
546;učenec;3670
547;frajer;3664
548;rváč;3662
549;zimbabwe;3648
550;hodnostář;3626
551;technický ředitel;3618
552;levák;3574
553;stařík;3525
554;abstinent;3515
555;opavan;3512
556;informátor;3499
557;elektrikář;3487
558;darebák;3447
559;bělorus;3411
560;lotyš;3405
561;španělka;3399
562;filmový režisér;3392
563;prominent;3391
564;scénograf;3378
565;opravář;3373
566;kubánec;3372
567;pedofil;3337
568;tulák;3321
569;figurant;3303
570;zvukař;3275
571;kambodža;3263
572;cvičitel;3230
573;obchodní zástupce;3228
574;farník;3209
575;podplukovník;3186
576;barbar;3150
577;ateista;3137
578;čekatel;3130
579;salvador;3126
580;antropolog;3122
581;vegetarián;3119
582;svářeč;3108
583;babice;3101
584;mexičan;3078
585;kurýr;3072
586;otužilec;3059
587;jihlavan;3057
588;satan;3056
589;referent;3052
590;rwanda;3050
591;bouřlivák;3044
592;vrchní sestra;3041
593;olomoučan;3039
594;archivář;3029
595;služebník;3024
596;strojvůdce;3013
597;scénárista;2990
598;neslyšící;2987
599;človíček;2986
600;chuligán;2967
601;samuraj;2952
602;pěšák;2938
603;superman;2926
604;debutant;2913
605;marketingový ředitel;2868
606;mudrc;2865
607;kosmetička;2857
608;zrůda;2857
609;astrolog;2853
610;venkovan;2853
611;vykonavatel;2852
612;odpadlík;2851
613;dobrák;2830
614;dvojník;2802
615;kapitalista;2784
616;zbabělec;2779
617;realitní makléř;2748
618;krajánek;2737
619;recepční;2733
620;porodní asistentka;2728
621;šťastlivec;2724
622;švadlena;2695
623;vtipálek;2688
624;uganda;2656
625;stavbyvedoucí;2649
626;astmatik;2646
627;kardiak;2638
628;plavčík;2638
629;zbohatlík;2598
630;výpravčí;2595
631;kulturista;2590
632;introvert;2586
633;letuška;2585
634;norka;2575
635;angola;2564
636;louda;2562
637;bolívie;2557
638;rakušanka;2544
639;strejda;2522
640;ekvádor;2510
641;kostarika;2509
642;aristokrat;2507
643;šlechtična;2502
644;mostečan;2498
645;vzdělanec;2498
646;číňanka;2489
647;uruguay;2488
648;estonec;2478
649;švédka;2475
650;madagaskar;2467
651;košíkář;2458
652;ortoped;2453
653;britka;2443
654;japonka;2443
655;tunelář;2439
656;litevec;2433
657;manipulátor;2431
658;pohlavár;2426
659;utečenec;2419
660;čistič;2418
661;keramik;2414
662;kladeňák;2411
663;pracant;2405
664;trestanec;2402
665;animátor;2389
666;šikula;2385
667;zlatník;2379
668;ukrajinka;2362
669;jihoafričan;2361
670;moldavsko;2357
671;pokladník;2329
672;australanka;2310
673;švýcarka;2305
674;hodinář;2295
675;machr;2295
676;patriarcha;2284
677;popelář;2284
678;zloduch;2278
679;asiat;2266
680;jugoslávec;2264
681;strážný;2249
682;pitomec;2247
683;humanista;2243
684;dospělák;2238
685;armén;2236
686;vizážistka;2229
687;mali;2219
688;panama;2214
689;casanova;2198
690;idealista;2197
691;kavalír;2195
692;koželuh;2193
693;plzeňák;2187
694;divoch;2162
695;hrobník;2162
696;tazatel;2162
697;mazánek;2157
698;liberečan;2155
699;trosečník;2148
700;provazník;2146
701;jidáš;2130
702;ovocnář;2125
703;medik;2120
704;sedlář;2117
705;nadporučík;2114
706;učedník;2114
707;maďarka;2104
708;keňan;2101
709;údržbář;2101
710;klempíř;2088
711;projektový manažer;2083
712;zubní lékař;2078
713;kumštýř;2064
714;poustevník;2048
715;imitátor;2035
716;vyhnanec;2035
717;hutník;2028
718;rumunka;2026
719;zoufalec;2016
720;aranžér;2007
721;krajinář;1975
722;personální ředitel;1975
723;paraguay;1971
724;nespokojenec;1966
725;vrátný;1964
726;lenoch;1960
727;zombie;1953
728;písař;1951
729;týpek;1948
730;dělnice;1934
731;kamerun;1934
732;požárník;1895
733;vědkyně;1893
734;kacíř;1886
735;vrhač;1886
736;snob;1874
737;belgičanka;1872
738;tanzanie;1864
739;divadelní režisér;1847
740;světice;1841
741;kanaďanka;1824
742;kurdistán;1814
743;romka;1811
744;světák;1793
745;cikánka;1778
746;pivovarník;1778
747;makedonec;1756
748;guatemala;1744
749;eminence;1741
750;kolumbijec;1718
751;speciální pedagog;1712
752;urbanista;1704
753;papaláš;1700
754;elév;1672
755;azylant;1669
756;buran;1667
757;hradečák;1653
758;islanďan;1650
759;mizera;1645
760;zelenáč;1628
761;mongol;1622
762;netvor;1622
763;agronom;1619
764;provozní ředitel;1612
765;bourák;1603
766;topič;1599
767;nájezdník;1597
768;tkadlec;1597
769;samorost;1594
770;chilan;1586
771;kyrgyzstán;1584
772;montér;1584
773;angličanka;1579
774;šička;1575
775;nákupčí;1574
776;anesteziolog;1564
777;osobní strážce;1553
778;nemluvně;1532
779;brňák;1530
780;šíbr;1525
781;měšťák;1509
782;veterinární lékař;1502
783;vysokoškolský učitel;1502
784;buddhista;1488
785;hrubec;1486
786;severokorejec;1485
787;střihač;1479
788;podnikavec;1473
789;paleontolog;1470
790;soustružník;1460
791;furiant;1457
792;podomní prodejce;1446
793;gruzínec;1445
794;traktorista;1439
795;hulvát;1437
796;individualista;1428
797;evropanka;1427
